GenePublicName,SequenceNameGene,SequenceNameTranscript,DC,OP50,Ratio_DCvsOP50,log2_Ratio_DCvsOP50,Infection_upregulated,Infection_downregulated
vps-34,B0025.1,B0025.1d.2,"0,479729","0,549206",0.873495555402,-0.19512773258,,
vps-34,B0025.1,B0025.1e,"0,478105","0,548399",0.871819605798,-0.19789844698,,
csn-2,B0025.2,B0025.2.1,"1,55797","1,52412",1.022209537307,0.03169095699,,
csn-2,B0025.2,B0025.2.2,"1,24824","1,37191",0.909855602773,-0.13629049210,,
csn-2,B0025.2,B0025.2.3,"1,249","1,3728",0.909819347319,-0.13634798100,,
csn-2,B0025.2,B0025.2.4,"1,24287","1,36575",0.910027457441,-0.13601801978,,
B0025.4,B0025.4,B0025.4,"0,865529","0,839531",1.030967290070,0.04399856044,,
B0034.1,B0034.1,B0034.1,"0,037438","0,028615",1.308332372296,0.38772909355,,
B0034.2,B0034.2,B0034.2,0,0,,,,
casy-1,B0034.3,B0034.3a,"0,603301","0,650712",0.927139809931,-0.10914118550,,
casy-1,B0034.3,B0034.3b,"1,08372","1,27222",0.851833802330,-0.23135611507,,
casy-1,B0034.3,B0034.3c.1,"0,571434","0,625673",0.913310946773,-0.13082196963,,
casy-1,B0034.3,B0034.3c.2,"0,604126","0,701707",0.860937684817,-0.21601927661,,
B0034.4,B0034.4,B0034.4,"0,06193","0,070261",0.881430665661,-0.18208100491,,
B0034.5,B0034.5,B0034.5,"0,009574","0,012077",0.792774635875,-0.33501728938,,
B0034.7,B0034.7,B0034.7,"0,018388","0,009074",2.026531829047,1.01901283477,1,
his-45,B0035.10,B0035.10,nan,nan,,,,
B0035.11,B0035.11,B0035.11,"1,68616","1,73854",0.969871271297,-0.04413482036,,
B0035.12,B0035.12,B0035.12.1,"0,964455","1,14041",0.845708999395,-0.24176676411,,
B0035.12,B0035.12,B0035.12.2,"1,01838","1,22183",0.833487473707,-0.26276757745,,
B0035.13,B0035.13,B0035.13,"0,823302","0,6717",1.225698972756,0.29360470184,,
dnj-1,B0035.14,B0035.14.1,"0,781964","0,881526",0.887057216690,-0.17290093109,,
dnj-1,B0035.14,B0035.14.2,"1,11534","1,36121",0.819373939363,-0.28740608705,,
B0035.15,B0035.15,B0035.15,"0,37539","0,405015",0.926854560942,-0.10958512138,,
